Ticker,Timestamp,Price,Pivot,Ext%,Intraday_RVOL,Verdict
FORCEMOT,14:29:28,19430.0,19263.0,0.87,2.95,🔥 VALID BREAKOUT
POLYMED,14:29:38,1750.7,1746.0,0.27,2.26,⚠️ FAKEOUT TRAP (Selling Wick)
DEEDEV,14:33:58,709.3,709.3,0.0,2.39,⚠️ FAKEOUT TRAP (Selling Wick)
SHREEJISPG,14:38:39,513.0,512.5,0.1,3.62,⚠️ FAKEOUT TRAP (Selling Wick)
NITCO,14:41:49,117.99,117.89,0.08,2.63,⚠️ FAKEOUT TRAP (Selling Wick)
DEEPAKFERT,14:43:56,1627.0,1623.3,0.23,4.47,🔥 VALID BREAKOUT
ULTRACEMCO,14:44:08,11562.0,11558.0,0.03,1.93,🔥 VALID BREAKOUT
ASTRAMICRO,14:49:06,1787.7,1786.0,0.1,5.08,⚠️ FAKEOUT TRAP (Selling Wick)
IIFL,14:53:04,518.15,518.0,0.03,3.01,⚠️ FAKEOUT TRAP (Selling Wick)
ANANTRAJ,14:53:06,532.45,527.85,0.87,8.21,🔥 VALID BREAKOUT
FDC,14:53:27,434.95,434.5,0.1,5.95,🔥 VALID BREAKOUT
ANANTRAJ,14:56:05,533.0,527.85,0.98,2.22,⚠️ FAKEOUT TRAP (Selling Wick)
MANINDS,14:58:28,602.0,593.4,1.45,45.09,🔥 VALID BREAKOUT
NIVABUPA,14:59:07,86.65,85.99,0.77,1.81,🔥 VALID BREAKOUT
RPEL,15:04:41,1296.0,1295.0,0.08,3.13,🔥 VALID BREAKOUT
GRANULES,15:04:42,828.6,828.0,0.07,1.98,🔥 VALID BREAKOUT
IOLCP,15:04:44,150.45,149.9,0.37,2.24,🔥 VALID BREAKOUT
MANINDS,15:04:54,598.35,593.4,0.83,2.58,⚠️ FAKEOUT TRAP (Selling Wick)
ADANIPORTS,15:08:12,1883.0,1881.4,0.09,1.8,⚠️ FAKEOUT TRAP (Selling Wick)
CIEINDIA,15:08:26,474.8,473.4,0.3,1.86,⚠️ FAKEOUT TRAP (Selling Wick)
ARSSBL,15:09:02,569.4,567.45,0.34,22.82,🔥 VALID BREAKOUT
RCF,15:09:10,133.13,133.0,0.1,2.6,🔥 VALID BREAKOUT
ASTRAMICRO,15:14:07,1797.4,1791.3,0.34,2.16,🔥 VALID BREAKOUT
ADANIGREEN,15:14:11,1558.6,1556.3,0.15,2.29,🔥 VALID BREAKOUT
PARAS,15:14:17,1345.5,1338.9,0.49,2.24,⚠️ FAKEOUT TRAP (Selling Wick)
ADANIPORTS,15:14:30,1885.9,1881.4,0.24,3.05,🔥 VALID BREAKOUT
POONAWALLA,15:15:02,456.8,454.5,0.51,2.28,🔥 VALID BREAKOUT
CHAMBLFERT,15:18:06,477.0,477.0,0.0,2.18,🔥 VALID BREAKOUT
BAJAJFINSV,15:18:19,1855.0,1854.0,0.05,3.08,🔥 VALID BREAKOUT
ACUTAAS,15:19:57,3696.5,3692.8,0.1,2.79,🔥 VALID BREAKOUT
BAJAJFINSV,15:21:17,1855.6,1854.0,0.09,2.14,⚠️ FAKEOUT TRAP (Selling Wick)
SKYGOLD,15:23:01,571.15,569.2,0.34,3.31,🔥 VALID BREAKOUT
TVSMOTOR,15:23:22,3631.3,3629.0,0.06,2.54,🔥 VALID BREAKOUT
APOLLOTYRE,15:24:23,457.55,454.75,0.62,2.04,⚠️ FAKEOUT TRAP (Selling Wick)
SUVEN,15:27:27,299.55,299.0,0.18,2.29,⚠️ FAKEOUT TRAP (Selling Wick)
DIXON,15:27:36,12409.0,12389.0,0.16,2.53,🔥 VALID BREAKOUT
GALAPREC,15:29:28,1185.8,1182.0,0.32,2.73,🔥 VALID BREAKOUT
POONAWALLA,15:29:58,457.9,455.65,0.49,2.55,⚠️ FAKEOUT TRAP (Selling Wick)
SUDEEPPHRM,15:30:18,864.0,856.45,0.88,12.68,🔥 VALID BREAKOUT
XPROINDIA,15:30:32,1523.0,1518.1,0.32,7.37,🔥 VALID BREAKOUT
SUVEN,15:30:33,302.4,299.0,1.14,5.9,🔥 VALID BREAKOUT
ADANIGREEN,12:05:01,1586.2,1584.4,0.11,3.04,🔥 VALID BREAKOUT
ABCAPITAL,12:08:24,408.2,407.2,0.25,2.17,🔥 VALID BREAKOUT
AARTIIND,12:09:24,498.25,496.4,0.37,6.7,🔥 VALID BREAKOUT
UBL,12:13:32,1383.2,1379.4,0.28,4.26,🔥 VALID BREAKOUT
INDUSINDBK,12:16:42,998.85,996.3,0.26,1.89,⚠️ FAKEOUT TRAP (Selling Wick)
CUB,12:22:56,223.5,222.8,0.31,3.33,🔥 VALID BREAKOUT
IDFCFIRSTB,12:23:23,81.64,81.3,0.42,3.6,🔥 VALID BREAKOUT
PNBHOUSING,12:34:09,1089.6,1086.0,0.33,3.87,🔥 VALID BREAKOUT
BRITANNIA,12:34:25,5453.0,5445.0,0.15,2.51,🔥 VALID BREAKOUT
BALRAMCHIN,12:38:30,572.35,571.5,0.15,10.53,⚠️ FAKEOUT TRAP (Selling Wick)
TRANSRAILL,12:39:00,525.55,525.5,0.01,17.38,⚠️ FAKEOUT TRAP (Selling Wick)
EIDPARRY,12:39:07,764.0,759.45,0.6,1.88,⚠️ FAKEOUT TRAP (Selling Wick)
DABUR,12:49:17,450.65,450.6,0.01,2.01,🔥 VALID BREAKOUT
BHARTIARTL,12:59:22,1928.9,1928.5,0.02,2.12,⚠️ FAKEOUT TRAP (Selling Wick)
PWL,12:59:52,134.45,134.4,0.04,4.64,⚠️ FAKEOUT TRAP (Selling Wick)
GRAVITA,13:13:44,1757.8,1756.6,0.07,2.03,🔥 VALID BREAKOUT
GRAVITA,13:19:14,1763.4,1756.6,0.39,4.28,🔥 VALID BREAKOUT
PGEL,13:23:32,566.6,566.5,0.02,6.84,🔥 VALID BREAKOUT
CGCL,13:28:57,239.54,238.43,0.47,2.72,🔥 VALID BREAKOUT
LALPATHLAB,13:29:06,1687.8,1681.9,0.35,2.42,🔥 VALID BREAKOUT
CANFINHOME,13:29:48,914.05,912.5,0.17,5.01,🔥 VALID BREAKOUT
JUBLINGREA,13:37:18,688.05,687.65,0.06,4.83,⚠️ FAKEOUT TRAP (Selling Wick)
AZAD,13:44:18,2227.2,2217.8,0.42,4.9,🔥 VALID BREAKOUT
HYUNDAI,13:54:46,2005.0,2003.5,0.07,1.8,🔥 VALID BREAKOUT
AZAD,13:59:00,2228.9,2217.8,0.5,1.99,⚠️ FAKEOUT TRAP (Selling Wick)
PGEL,14:19:27,573.6,571.2,0.42,2.37,🔥 VALID BREAKOUT
JBCHEPHARM,14:23:56,2388.0,2388.0,0.0,2.34,⚠️ FAKEOUT TRAP (Selling Wick)
PVRINOX,14:24:38,1016.3,1014.9,0.14,1.93,🔥 VALID BREAKOUT
ITCHOTELS,14:34:12,182.99,181.66,0.73,5.19,🔥 VALID BREAKOUT
TORNTPHARM,14:38:27,4816.6,4816.0,0.01,7.41,🔥 VALID BREAKOUT
AEGISLOG,15:03:29,1394.1,1390.0,0.29,2.92,⚠️ FAKEOUT TRAP (Selling Wick)
ICICIGI,15:04:32,1786.6,1783.0,0.2,2.74,🔥 VALID BREAKOUT
DIVISLAB,15:06:21,6847.0,6824.5,0.33,2.1,🔥 VALID BREAKOUT
AEGISLOG,15:09:29,1405.9,1394.0,0.85,3.87,🔥 VALID BREAKOUT
NESTLEIND,15:09:56,1472.1,1469.2,0.2,1.94,🔥 VALID BREAKOUT
JBCHEPHARM,15:12:46,2392.2,2391.1,0.05,1.93,🔥 VALID BREAKOUT
BLACKBUCK,15:13:00,562.5,559.0,0.63,2.83,🔥 VALID BREAKOUT
ICICIGI,15:13:43,1784.8,1783.0,0.1,2.14,⚠️ FAKEOUT TRAP (Selling Wick)
BAJAJ-AUTO,15:13:57,10042.0,10035.0,0.07,2.2,🔥 VALID BREAKOUT
360ONE,16:01:18,1133.3,1133.1,0.02,2.5,⚠️ FAKEOUT TRAP (Selling Wick)
URBANCO,16:01:32,134.35,133.48,0.65,6.0,🔥 VALID BREAKOUT
CANFINHOME,16:01:32,926.8,915.8,1.2,4.12,🔥 VALID BREAKOUT
DLINKINDIA,09:17:39,533.8,533.65,0.03,2.43,🔥 VALID BREAKOUT
DLINKINDIA,09:18:58,536.0,533.65,0.44,3.48,⚠️ FAKEOUT TRAP (Selling Wick)
SUNPHARMA,09:24:10,1926.0,1925.1,0.05,2.12,⚠️ FAKEOUT TRAP (Selling Wick)
CONCORDBIO,09:27:12,1308.8,1303.6,0.4,2.88,🔥 VALID BREAKOUT
CONCORDBIO,09:34:07,1313.8,1303.6,0.78,3.9,⚠️ FAKEOUT TRAP (Selling Wick)
TORNTPHARM,10:50:00,4925.3,4913.0,0.25,3.09,🔥 VALID BREAKOUT
JBCHEPHARM,10:53:20,2454.5,2450.0,0.18,1.98,⚠️ FAKEOUT TRAP (Selling Wick)
HAVELLS,11:04:18,1229.2,1228.8,0.03,1.92,🔥 VALID BREAKOUT
ENDURANCE,11:09:14,2688.4,2684.2,0.16,2.18,🔥 VALID BREAKOUT
SFL,11:17:42,775.0,772.65,0.3,3.67,🔥 VALID BREAKOUT
IIFL,11:21:13,534.9,533.8,0.21,2.17,🔥 VALID BREAKOUT
BALRAMCHIN,09:23:36,577.95,575.7,0.39,5.74,🔥 VALID BREAKOUT,577.95,560.21,598.93,622.16,ATR Estimate,3.6,7.6,1.18,14,8091.3,248.36,16.18,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,5.3/10,4.1/10
IIFL,09:54:21,539.75,538.5,0.23,3.12,🔥 VALID BREAKOUT,539.75,519.92,566.37,594.23,ATR Estimate,4.9,10.1,1.34,11,5937.25,218.13,13.19,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,5.7/10,3.6/10
RAYMOND,09:54:25,631.75,631.15,0.1,4.22,🔥 VALID BREAKOUT,631.75,610.26,662.49,693.82,ATR Estimate,4.9,9.8,1.43,10,6317.5,214.9,14.04,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 3 — Weak RS,5.0/10,3.6/10
BAJAJCON,09:59:16,634.15,630.0,0.66,7.58,🔥 VALID BREAKOUT,634.15,609.65,660.52,691.05,ATR Estimate,4.2,9.0,1.08,9,5707.35,220.5,12.68,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,7.0/10,3.5/10
IIFL,09:59:28,538.9,538.5,0.07,1.97,⚠️ FAKEOUT TRAP (Selling Wick),538.9,519.92,566.37,594.23,ATR Estimate,5.1,10.3,1.45,11,5927.9,208.78,13.17,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,5.7/10,3.6/10
BAJAJCON,10:04:07,639.4,630.0,1.49,2.78,⚠️ BREAKOUT EXTENDED,639.4,609.65,660.52,691.05,ATR Estimate,3.3,8.1,0.71,7,4475.8,208.25,9.95,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,7.0/10,3.5/10
TIPSMUSIC,10:04:17,707.2,701.0,0.88,3.8,⚠️ BREAKOUT EXTENDED,707.2,679.9,732.65,764.3,ATR Estimate,3.6,8.1,0.93,8,5657.6,218.4,12.57,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.1/10,3.8/10
TATAINVEST,10:04:20,688.15,682.9,0.77,1.99,⚠️ BREAKOUT EXTENDED,688.15,669.79,702.57,722.24,ATR Estimate,2.1,5.0,0.79,12,8257.8,220.32,18.35,,2 Trading Days,Reassess at 8 trading days.,Tier 2 — Institutional Accumulation,5.7/10,6.9/10
UNOMINDA,10:09:03,1162.5,1156.7,0.5,2.04,🔥 VALID BREAKOUT,1162.5,1124.66,1204.76,1252.82,ATR Estimate,3.6,7.8,1.12,5,5812.5,189.2,12.92,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.0/10,5.3/10
MARKSANS,10:14:07,279.8,276.7,1.12,2.32,⚠️ BREAKOUT EXTENDED,279.8,266.21,292.43,308.16,ATR Estimate,4.5,10.1,0.93,16,4476.8,217.44,9.95,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.1/10,3.1/10
IIFL,10:14:13,543.5,538.55,0.92,1.97,⚠️ BREAKOUT EXTENDED,543.5,519.97,566.42,594.29,ATR Estimate,4.2,9.3,0.97,9,4891.5,211.77,10.87,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,5.7/10,3.6/10
RAYMOND,10:14:17,631.2,631.15,0.01,3.31,⚠️ FAKEOUT TRAP (Selling Wick),631.2,610.26,662.49,693.82,ATR Estimate,5.0,9.9,1.49,10,6312.0,209.4,14.03,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 3 — Weak RS,5.0/10,3.6/10
UNOMINDA,10:19:26,1167.4,1156.7,0.93,2.63,⚠️ BREAKOUT EXTENDED,1167.4,1124.66,1204.76,1252.82,ATR Estimate,3.2,7.3,0.87,5,5837.0,213.7,12.97,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.0/10,5.3/10
ASTERDM,10:32:22,807.0,801.8,0.65,12.28,🔥 VALID BREAKOUT,807.0,777.83,837.76,873.72,ATR Estimate,3.8,8.3,1.05,8,6456.0,233.36,12.91,,2 Trading Days,Hard review at 6 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.5/10,5.8/10
RAINBOW,10:32:36,1479.1,1458.2,1.43,2.98,⚠️ BREAKOUT EXTENDED,1479.1,1424.37,1508.95,1559.69,ATR Estimate,2.0,5.4,0.55,4,5916.4,218.92,11.83,,2 Trading Days,Hard review at 6 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,5.4/10,4.7/10
RAINBOW,10:47:31,1498.0,1460.5,2.57,1.81,⚠️ BREAKOUT EXTENDED,1498.0,1424.72,1514.17,1567.85,ATR Estimate,1.1,4.7,0.22,3,4494.0,219.84,8.99,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,5.4/10,3.9/10
NEOGEN,11:26:40,2066.6,2046.5,0.98,4.04,⚠️ BREAKOUT EXTENDED,2066.6,1978.35,2148.72,2250.95,ATR Estimate,4.0,8.9,0.93,2,4133.2,176.5,8.27,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.4/10,3.4/10
NEOGEN,11:28:14,2063.4,2046.5,0.83,4.86,🔥 VALID BREAKOUT,2063.4,1978.35,2148.72,2250.95,ATR Estimate,4.1,9.1,1.0,2,4126.8,170.1,8.25,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.4/10,3.4/10
NEOGEN,11:29:44,2059.4,2046.5,0.63,5.56,⚠️ FAKEOUT TRAP (Selling Wick),2059.4,1978.35,2148.72,2250.95,ATR Estimate,4.3,9.3,1.1,3,6178.2,243.15,12.36,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.4/10,3.4/10
LICI,11:57:53,440.5,440.5,0.0,5.12,🔥 VALID BREAKOUT,440.5,432.13,453.05,465.61,ATR Estimate,2.8,5.7,1.5,22,9691.0,184.14,19.38,⚠️ Units capped at 20% concentration limit.,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,5.5/10,3.5/10
EXIDEIND,12:16:43,427.15,425.7,0.34,2.5,🔥 VALID BREAKOUT,427.15,413.35,444.22,462.74,ATR Estimate,4.0,8.3,1.24,18,7688.7,248.4,15.38,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.0/10,3.1/10
SUDARSCHEM,12:16:53,952.65,948.95,0.39,4.38,🔥 VALID BREAKOUT,952.65,920.01,992.36,1035.78,ATR Estimate,4.2,8.7,1.22,7,6668.55,228.48,13.34,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,❌ BROKEN / EXTENDED STRUCTURE,4.2/10,6.3/10
SUDARSCHEM,12:27:35,952.5,948.95,0.37,1.85,⚠️ FAKEOUT TRAP (Selling Wick),952.5,920.01,992.36,1035.78,ATR Estimate,4.2,8.7,1.23,7,6667.5,227.43,13.33,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,❌ BROKEN / EXTENDED STRUCTURE,4.2/10,6.3/10
GRASIM,12:38:21,3222.0,3222.0,0.0,2.09,🔥 VALID BREAKOUT,3222.0,3171.41,3297.88,3373.76,ATR Estimate,2.4,4.7,1.5,3,9666.0,151.77,19.33,⚠️ Units capped at 20% concentration limit.,1 Trading Day,"Up to 6 trading days — high quality, let it run.",Tier 1 — Ready to Monitor Daily,6.2/10,9.1/10
ASTERDM,12:54:41,817.3,815.0,0.28,2.31,🔥 VALID BREAKOUT,817.3,790.06,852.41,889.82,ATR Estimate,4.3,8.9,1.29,9,7355.7,245.16,14.71,,2 Trading Days,Hard review at 6 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.5/10,4.2/10
PREMIERENE,14:19:37,1088.3,1087.5,0.07,2.06,⚠️ FAKEOUT TRAP (Selling Wick),1088.3,1057.16,1133.01,1178.52,ATR Estimate,4.1,8.3,1.44,8,8706.4,249.12,17.41,,1 Trading Day,Reassess at 4 trading days.,Tier 1 — Ready to Monitor Daily,5.6/10,7.7/10
PREMIERENE,15:24:51,1091.7,1087.5,0.39,3.08,🔥 VALID BREAKOUT,1091.7,1057.16,1133.01,1178.52,ATR Estimate,3.8,8.0,1.2,7,7641.9,241.78,15.28,,1 Trading Day,Reassess at 4 trading days.,Tier 1 — Ready to Monitor Daily,5.6/10,7.7/10
BAJAJCON,15:26:53,644.95,643.95,0.16,3.71,🔥 VALID BREAKOUT,644.95,622.64,675.92,707.89,ATR Estimate,4.8,9.8,1.39,11,7094.45,245.41,14.19,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,7.0/10,2.7/10
BAJAJCON,15:28:45,644.3,643.95,0.05,8.66,⚠️ FAKEOUT TRAP (Selling Wick),644.3,622.64,675.92,707.89,ATR Estimate,4.9,9.9,1.46,11,7087.3,238.26,14.17,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,7.0/10,2.7/10
NORTHARC,12:18:07,321.25,320.0,0.39,1.84,⚠️ FAKEOUT TRAP (Selling Wick),321.25,307.46,338.82,357.63,ATR Estimate,5.5,11.3,1.27,18,5782.5,248.22,11.56,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,❌ BROKEN / EXTENDED STRUCTURE,6.2/10,0.1/10
SAILIFE,12:28:32,1276.0,1272.0,0.31,4.9,🔥 VALID BREAKOUT,1276.0,1234.35,1328.48,1384.95,ATR Estimate,4.1,8.5,1.26,6,7656.0,249.9,15.31,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,6.7/10,3.4/10
PREMIERENE,12:28:41,1107.9,1106.0,0.17,4.43,🔥 VALID BREAKOUT,1107.9,1076.47,1150.3,1194.59,ATR Estimate,3.8,7.8,1.35,7,7755.3,220.01,15.51,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,5.6/10,5.1/10
SAILIFE,12:31:27,1282.7,1272.0,0.84,2.46,⚠️ BREAKOUT EXTENDED,1282.7,1234.35,1328.48,1384.95,ATR Estimate,3.6,8.0,0.95,5,6413.5,241.75,12.83,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,6.7/10,3.4/10
SAILIFE,12:32:54,1276.9,1272.0,0.39,2.78,⚠️ FAKEOUT TRAP (Selling Wick),1276.9,1234.35,1328.48,1384.95,ATR Estimate,4.0,8.5,1.21,5,6384.5,212.75,12.77,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,6.7/10,3.4/10
PREMIERENE,12:33:02,1110.6,1106.0,0.42,3.87,⚠️ FAKEOUT TRAP (Selling Wick),1110.6,1076.47,1150.3,1194.59,ATR Estimate,3.6,7.6,1.16,7,7774.2,238.91,15.55,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,5.6/10,5.1/10
PREMIERENE,12:34:40,1116.4,1106.0,0.94,8.77,⚠️ BREAKOUT EXTENDED,1116.4,1076.47,1150.3,1194.59,ATR Estimate,3.0,7.0,0.85,6,6698.4,239.58,13.4,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,5.6/10,5.1/10
KTKBANK,12:43:25,271.7,271.2,0.18,2.53,🔥 VALID BREAKOUT,271.7,264.37,281.45,291.7,ATR Estimate,3.6,7.4,1.33,34,9237.8,249.22,18.48,,2 Trading Days,Reassess at 8 trading days.,Tier 1 — Ready to Monitor Daily,6.7/10,7.1/10
TMB,12:48:23,789.75,789.75,0.0,4.37,⚠️ FAKEOUT TRAP (Selling Wick),789.75,763.53,829.08,868.41,ATR Estimate,5.0,10.0,1.5,9,7107.75,235.98,14.22,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.8/10,4.5/10
KTKBANK,12:59:17,271.4,271.2,0.07,2.4,⚠️ FAKEOUT TRAP (Selling Wick),271.4,264.37,281.45,291.7,ATR Estimate,3.7,7.5,1.43,35,9499.0,246.05,19.0,,2 Trading Days,Reassess at 8 trading days.,Tier 1 — Ready to Monitor Daily,6.7/10,7.1/10
RBLBANK,13:07:02,379.0,377.4,0.42,30.94,🔥 VALID BREAKOUT,379.0,367.29,392.57,407.74,ATR Estimate,3.6,7.6,1.16,21,7959.0,245.91,15.92,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 1 — Ready to Monitor Daily,6.7/10,5.6/10
TMB,13:07:14,793.85,790.0,0.49,2.31,🔥 VALID BREAKOUT,793.85,763.77,829.34,868.68,ATR Estimate,4.5,9.4,1.18,8,6350.8,240.64,12.7,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,6.8/10,4.5/10
KTKBANK,13:08:29,274.25,271.9,0.86,7.73,⚠️ BREAKOUT EXTENDED,274.25,265.05,282.18,292.46,ATR Estimate,2.9,6.6,0.86,27,7404.75,248.4,14.81,,2 Trading Days,Reassess at 8 trading days.,Tier 1 — Ready to Monitor Daily,6.7/10,7.1/10
BAJAJCON,13:33:07,663.15,632.6,4.83,3.37,⚠️ BREAKOUT EXTENDED,663.15,610.52,665.72,698.83,ATR Estimate,0.4,5.4,0.05,4,2652.6,210.52,5.31,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,4.7/10,0.4/10,99.1
AETHER,13:33:13,1515.9,1510.0,0.39,3.0,⚠️ FAKEOUT TRAP (Selling Wick),1515.9,1445.98,1606.04,1702.07,ATR Estimate,5.9,12.3,1.29,3,4547.7,209.76,9.1,,1 Trading Day,Reassess at 4 trading days.,Tier 2 — Institutional Accumulation,4.7/10,7.0/10,94.2
MOBIKWIK,13:34:53,209.4,208.58,0.39,4.87,🔥 VALID BREAKOUT,209.4,202.47,217.75,226.91,ATR Estimate,4.0,8.4,1.2,36,7538.4,249.48,15.08,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,❌ BROKEN / EXTENDED STRUCTURE,4.5/10,4.8/10,N/A
INDOBORAX,13:35:04,453.0,430.0,5.35,3.39,⚠️ BREAKOUT EXTENDED,453.0,409.79,460.31,490.63,ATR Estimate,1.6,8.3,0.17,5,2265.0,216.05,4.53,,1 Trading Day,Reassess at 4 trading days.,Tier 2 — Institutional Accumulation,5.0/10,7.0/10,97.1
MOBIKWIK,13:36:40,211.13,208.58,1.22,6.13,⚠️ BREAKOUT EXTENDED,211.13,202.47,217.75,226.91,ATR Estimate,3.1,7.5,0.76,28,5911.64,242.48,11.82,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,❌ BROKEN / EXTENDED STRUCTURE,4.5/10,4.8/10,N/A
LICI,13:38:16,443.5,442.8,0.16,5.19,🔥 VALID BREAKOUT,443.5,434.21,455.69,468.57,ATR Estimate,2.7,5.7,1.31,22,9757.0,204.38,19.51,⚠️ Units capped at 20% concentration limit.,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,Tier 2 — Institutional Accumulation,5.6/10,3.7/10,N/A
MOBIKWIK,13:38:25,209.95,208.58,0.66,14.46,⚠️ FAKEOUT TRAP (Selling Wick),209.95,202.47,217.75,226.91,ATR Estimate,3.7,8.1,1.04,33,6928.35,246.84,13.86,,1 Trading Day,Hard review at 3 trading days — lower conviction setup.,❌ BROKEN / EXTENDED STRUCTURE,4.5/10,4.8/10,N/A
INDNIPPON,13:38:32,1176.8,1048.6,12.23,2.96,⚠️ BREAKOUT EXTENDED,1176.8,1006.45,1111.83,1175.06,ATR Estimate,-5.5,-0.1,-0.38,1,1176.8,170.35,2.35,,1 Trading Day,Reassess at 4 trading days.,Tier 2 — Institutional Accumulation,5.0/10,7.0/10,90.3
